,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Khanbari,27.3747,87.2039,50.5,74,100,1.57,NP,1612620907
1,Vaini,-21.2,-175.2,77.0,100,90,3.44,TO,1612620907
2,Jamestown,42.097,-79.2353,16.0,67,90,21.85,US,1612620908
3,Tasiilaq,65.6145,-37.6368,32.0,93,90,21.85,GL,1612620909
4,Jeffersontown,38.1942,-85.5644,30.99,64,1,6.91,US,1612620909
5,Castro,-24.7911,-50.0119,72.88,57,0,1.03,BR,1612620909
6,Longyearbyen,78.2186,15.6401,23.0,80,75,9.22,SJ,1612620901
7,Punta Arenas,-53.15,-70.9167,51.8,50,75,16.11,CL,1612620909
8,Bredasdorp,-34.5322,20.0403,80.6,50,0,14.97,ZA,1612620909
9,Mataura,-46.1927,168.8643,49.95,94,2,1.01,NZ,1612620910
10,Monroe,43.1501,-77.6831,21.99,86,90,10.36,US,1612620910
11,Ushuaia,-54.8,-68.3,48.2,57,0,14.97,AR,1612620910
12,Khatanga,71.9667,102.5,-36.51,78,0,5.64,RU,1612620910
13,Cape Town,-33.9258,18.4232,78.8,61,0,19.57,ZA,1612620910
14,Souillac,-20.5167,57.5167,82.4,74,20,10.36,MU,1612620910
15,Lagos,6.5833,3.75,93.47,45,0,8.93,NG,1612620795
16,Río Gallegos,-51.6226,-69.2181,53.6,47,75,14.97,AR,1612620911
17,Wilmington,34.2257,-77.9447,46.99,71,40,6.91,US,1612620180
18,Nyborg,55.3127,10.7896,26.6,63,20,17.27,DK,1612620911
19,Busselton,-33.65,115.3333,60.01,89,100,1.99,AU,1612620911
20,Yaring,6.8662,101.3689,76.53,83,59,10.4,TH,1612620911
21,San Joaquin,37.9333,-121.3011,42.01,93,1,3.44,US,1612620911
22,Te Anau,-45.4167,167.7167,53.22,86,12,0.51,NZ,1612620911
23,Port Hardy,50.6996,-127.4199,44.6,100,90,3.44,CA,1612620613
24,Gīdolē,5.65,37.3667,78.89,27,47,3.85,ET,1612620912
25,Saint George,37.1041,-113.5841,37.4,52,1,6.91,US,1612620912
26,Bluff,-46.6,168.3333,54.88,85,1,1.79,NZ,1612620912
27,Zaozyornoye,45.1582,33.2787,46.99,70,99,10.71,UA,1612620912
28,Sinnamary,5.3833,-52.95,79.59,83,100,14.14,GF,1612620912
29,Nivala,63.9167,24.9667,10.99,91,99,5.99,FI,1612620912
30,Fortuna,40.5982,-124.1573,45.0,93,90,4.83,US,1612620912
31,Upernavik,72.7868,-56.1549,18.68,80,100,6.42,GL,1612620913
32,Juneau,58.3019,-134.4197,26.01,68,90,5.75,US,1612620913
33,Grimshaw,56.1834,-117.6027,-27.4,68,1,8.05,CA,1612620801
34,Sapa,5.1544,120.3241,80.89,84,100,8.79,PH,1612620913
35,Quelimane,-17.8786,36.8883,95.0,55,75,10.36,MZ,1612620914
36,Faanui,-16.4833,-151.75,81.05,71,0,10.4,PF,1612620914
37,New Norfolk,-42.7826,147.0587,57.99,76,4,2.98,AU,1612620914
38,Sorong,-0.8833,131.25,81.7,78,100,3.53,ID,1612620914
39,Harper,4.375,-7.7169,84.76,72,43,9.26,LR,1612620915
40,Severo-Kuril'sk,50.6789,156.125,18.79,95,100,16.75,RU,1612620627
41,Douglas,41.3,-96.167,12.99,85,90,10.36,US,1612620915
42,Kaduy,59.2,37.15,-0.4,71,20,6.71,RU,1612620915
43,Hermiston,45.8404,-119.2895,44.6,61,1,23.02,US,1612620915
44,Pitimbu,-7.4706,-34.8086,87.8,58,75,10.36,BR,1612620915
45,Chui,-33.6971,-53.4616,73.94,59,0,9.71,UY,1612620916
46,Beira,-19.8436,34.8389,86.0,79,75,9.22,MZ,1612620916
47,Olafsvik,64.8945,-23.7142,35.85,78,100,15.75,IS,1612620916
48,Sungai Raya,0.7,108.9,78.67,86,100,10.33,ID,1612620916
49,Qaanaaq,77.484,-69.3632,7.45,87,100,7.52,GL,1612620916
50,Yertarskiy,56.7902,64.2995,35.1,95,100,12.53,RU,1612620916
51,Taoudenni,22.6783,-3.9836,79.52,20,73,13.98,ML,1612620916
52,Ribeira Grande,38.5167,-28.7,60.8,88,40,19.57,PT,1612620916
53,Rikitea,-23.1203,-134.9692,77.34,74,100,13.62,PF,1612620916
54,Nanortalik,60.1432,-45.2371,22.71,76,0,2.39,GL,1612620820
55,Hobart,-42.8794,147.3294,57.99,88,20,1.14,AU,1612620846
56,Araguaína,-7.1911,-48.2072,78.42,81,99,5.06,BR,1612620917
57,Burns Lake,54.2331,-125.7533,21.2,93,100,3.58,CA,1612620917
58,Lebu,-37.6167,-73.65,60.84,84,100,5.97,CL,1612620917
59,Vao,-22.6667,167.4833,77.61,86,0,8.66,NC,1612620917
60,Kulu,39.0951,33.0799,57.47,37,0,6.85,TR,1612620917
61,Savannakhet,16.566,104.751,71.15,68,0,11.48,LA,1612620917
62,Abilene,32.4487,-99.7331,43.0,81,1,9.22,US,1612620730
63,Laguna,38.421,-121.4238,41.0,93,1,2.48,US,1612620918
64,Praia da Vitória,38.7333,-27.0667,64.4,72,75,11.25,PT,1612620918
65,Barrow,71.2906,-156.7887,-2.2,71,90,8.05,US,1612620918
66,Torbay,47.6666,-52.7314,36.0,93,75,20.71,CA,1612620727
67,Kavaratti,10.5669,72.642,81.01,71,0,13.04,IN,1612620918
68,Albany,42.6001,-73.9662,30.2,54,75,8.05,US,1612620918
69,George Town,5.4112,100.3354,86.0,70,20,3.44,MY,1612620818
70,Atuona,-9.8,-139.0333,79.86,78,26,22.79,PF,1612620919
71,Forestville,38.8451,-76.875,42.01,48,20,13.8,US,1612620919
72,East London,-33.0153,27.9116,78.8,83,75,11.5,ZA,1612620728
73,Jinji,23.2281,110.8261,71.37,43,0,1.1,CN,1612620919
74,Mar del Plata,-38.0023,-57.5575,73.0,73,75,13.8,AR,1612620919
75,Ribera,37.4984,13.2642,71.01,45,0,5.01,IT,1612620919
76,Marovoay,-16.1,46.6333,86.0,74,40,10.36,MG,1612620919
77,Clyde River,70.4692,-68.5914,-9.4,77,40,2.3,CA,1612620920
78,Joshīmath,30.5667,79.5667,36.46,53,0,12.15,IN,1612620920
79,Zonguldak,41.25,31.8333,58.68,49,26,2.48,TR,1612620920
80,São Filipe,14.8961,-24.4956,71.2,70,3,15.86,CV,1612620920
81,Norman Wells,65.282,-126.8329,-38.2,67,40,4.61,CA,1612620920
82,Airai,-8.9266,125.4092,61.57,96,100,1.7,TL,1612620920
83,Bandarbeyla,9.4942,50.8122,77.47,75,23,14.23,SO,1612620920
84,Saint Paul Harbor,57.79,-152.4072,24.8,68,1,5.75,US,1612620834
85,Sishui,35.6489,117.2758,51.31,40,84,3.49,CN,1612620920
86,Kowary,50.7931,15.8356,28.0,61,99,9.04,PL,1612620920
87,Pevek,69.7008,170.3133,-4.85,85,100,3.15,RU,1612620921
88,Asău,46.4333,26.4,32.0,74,100,2.04,RO,1612620921
89,Batemans Bay,-35.7167,150.1833,68.0,88,0,1.99,AU,1612620921
90,Puerto Ayora,-0.7393,-90.3518,75.99,97,44,3.0,EC,1612620921
91,Banjar,-8.19,114.9675,77.0,100,40,1.14,ID,1612620921
92,Koutiala,12.3917,-5.4642,100.87,9,60,5.1,ML,1612620921
93,Udachny,66.4167,112.4,-35.7,79,0,3.47,RU,1612620921
94,Lata,40.1629,-8.3327,60.01,80,85,14.0,PT,1612620922
95,Forsytheganj,52.6333,29.7333,9.25,91,67,9.15,BY,1612620922
96,Kumul,42.8,93.45,32.47,78,100,3.36,CN,1612620922
